label, corr, rmse, stddev_mod, stddev_obs
BNU-ESM, 0.8437821778110425, 7.060198091590553, 11.631184, 13.112700360070349
CanESM2, 0.8135918434296611, 7.860448782779009, 12.58103, 13.112700184171999
CNRM-CM5, 0.807535650353731, 7.7766192152068605, 11.127492, 13.157197035535438
ACCESS1-0, 0.8509008057949681, 6.993052416476588, 11.844723, 13.27010997646373
FIO-ESM, 0.8072193742086092, 7.819765175360358, 11.700332, 13.112700360070349
inmcm4, 0.5926686441758978, 10.818962591850187, 9.880986, 13.184899849264028
IPSL-CM5A-LR, 0.7564986058285214, 9.530129055307768, 13.9519415, 13.305402772541509
IPSL-CM5A-MR, 0.721465923884444, 10.100533056008533, 13.761886, 13.277011927460507
MIROC-ESM, 0.8040226974772438, 7.811338039315565, 11.019372, 13.112700142455118
HadCM3, 0.8285757242612861, 7.480664609162353, 11.455382, 13.342107638728697
MPI-ESM-LR, 0.8309394885949987, 7.311116486290938, 10.888956, 13.140802851362865
MPI-ESM-MR, 0.8172432163288261, 7.5979352308448815, 10.123583, 13.140802851362865
MRI-CGCM3, 0.8350480215454306, 7.629428943998686, 13.392317, 13.162777413172945
MRI-ESM1, 0.8363227303316649, 7.529323994340678, 13.156664, 13.162777413172945
GISS-E2-H, 0.7307065308324814, 9.023917936959373, 8.987862, 13.184237073303217
CCSM4, 0.8679445075689126, 6.592559610299475, 11.89216, 13.250315653722584
NorESM1-M, 0.8303430926845565, 7.876989750789057, 13.70404, 13.310155461415189
HadGEM2-AO, 0.8520957639320432, 6.946656236010412, 11.440109, 13.27010997646373
GFDL-CM3, 0.8453394717103654, 7.550286629737324, 13.86494, 13.184237073303217
GFDL-ESM2M, 0.8337280718436852, 7.359710043872518, 10.688738, 13.308211113173709
CESM1-CAM5, 0.8981244939002092, 5.826760370015144, 11.876394, 13.250315687729705
Linear_LS, 0.5456882545893152, 12.05930478059771, 12.12378, 13.11270014245512
Linear_FD, 0.7635087050755837, 8.963465037355572, 12.950053, 13.11270014245512
Linear_ALL, 0.7637669241213005, 8.966425658922388, 12.973939, 13.11270014245512
Sundqvist_LS, 0.4990053002144861, 12.48684458523715, 11.719526, 13.11270014245512
Sundqvist_FD, 0.7494547873314452, 8.895980995559677, 11.769769, 13.11270014245512
Sundqvist_ALL, 0.7643652397883824, 8.64201646521899, 11.811722, 13.11270014245512
