label, corr, rmse, stddev_mod, stddev_obs
BNU-ESM, 0.6324449786878014, 13.207891068543159, 15.723397, 15.053973612400878
CanESM2, 0.718115387795098, 12.385322085553431, 17.416607, 15.053973332646184
CNRM-CM5, 0.6038266072569546, 12.76798086095321, 13.410132, 15.080050831042652
ACCESS1-0, 0.7536721428018957, 10.400279949495953, 14.558136, 15.047921472568452
FIO-ESM, 0.6226903523882875, 13.432680092144542, 15.830432, 15.053973612400878
inmcm4, 0.6237850373248982, 12.274182534551052, 12.977092, 15.00710098097864
IPSL-CM5A-LR, 0.7609199836636463, 14.007568659124436, 21.487295, 14.995749601213179
IPSL-CM5A-MR, 0.7800262417535447, 13.259074452923835, 21.070927, 15.036906102642053
MIROC-ESM, 0.5647722704674631, 18.20527977043351, 21.80978, 15.05397333995329
HadCM3, 0.7220847706655623, 13.02663576900488, 18.697157, 15.04519094122521
MPI-ESM-LR, 0.7768898441076418, 11.58801782006176, 18.358274, 15.081345732337965
MPI-ESM-MR, 0.776291027404519, 11.579541942403546, 18.318464, 15.081345732337965
MRI-CGCM3, 0.6883908425204396, 11.174748194882604, 12.678919, 15.07619303555358
MRI-ESM1, 0.6826018233802621, 11.241858582081301, 12.52559, 15.07619303555358
GISS-E2-H, 0.205029901729656, 19.04479583943205, 15.188879, 15.017967250506324
CCSM4, 0.65381776326222, 12.82410916097735, 15.739263, 15.047712793076457
NorESM1-M, 0.7048111695315297, 13.014341355909977, 18.058928, 15.020208913012572
HadGEM2-AO, 0.7415056602140268, 10.538436543232827, 14.178437, 15.047921472568452
GFDL-CM3, 0.8125737815375165, 9.638717579008249, 16.238523, 15.017967250506324
GFDL-ESM2M, 0.7296309145061215, 11.475795921265197, 16.105217, 14.975563768040223
CESM1-CAM5, 0.6276185832321438, 14.235219670204975, 17.531324, 15.047712732443145
Linear_LS, 0.6187822034492713, 18.593703699357935, 23.663488, 15.05397333995329
Linear_FD, 0.6474908622856247, 14.513414613769916, 18.637032, 15.05397333995329
Linear_ALL, 0.7219401181439511, 13.143477892307248, 18.88329, 15.05397333995329
Sundqvist_LS, 0.6333034718384178, 17.264427836031786, 22.27463, 15.05397333995329
Sundqvist_FD, 0.665368504841912, 13.575485818970382, 17.632263, 15.05397333995329
Sundqvist_ALL, 0.7317112794549651, 12.301202745194544, 17.799797, 15.05397333995329
