label, corr, rmse, stddev_mod, stddev_obs
BNU-ESM, 0.759200791384569, 16.47074681071116, 24.179161, 23.217617975938623
CanESM2, 0.8163086368505836, 14.792261083791322, 25.194508, 23.217617805429168
CNRM-CM5, 0.7501709428783794, 16.358189350885933, 22.958637, 23.31549698807375
ACCESS1-0, 0.8799162137386624, 11.392418200859654, 23.042118, 23.426167590731605
FIO-ESM, 0.7532187276037926, 16.93129164465344, 24.798147, 23.217617975938623
inmcm4, 0.8155623293832943, 13.631457033524562, 20.983984, 23.308048149159866
IPSL-CM5A-LR, 0.744325165194226, 20.449946544736097, 30.606684, 23.42939125524622
IPSL-CM5A-MR, 0.7480975586190381, 20.14506572003659, 30.33805, 23.42154189163298
MIROC-ESM, 0.6774490207035014, 21.303561444775347, 28.46365, 23.21761752664875
HadCM3, 0.8258165723602989, 14.994102222278963, 26.420156, 23.501181986713483
MPI-ESM-LR, 0.8171985961264298, 14.958941689353889, 25.634836, 23.288693679321163
MPI-ESM-MR, 0.8135819892392836, 14.979088634122492, 25.351055, 23.288693679321163
MRI-CGCM3, 0.7264854554552641, 16.863204631407207, 22.194607, 23.317971680631082
MRI-ESM1, 0.7217730652564011, 16.890882114983935, 21.81351, 23.317971680631082
GISS-E2-H, 0.5078528357853217, 22.656025994636313, 22.32552, 23.313833611913733
CCSM4, 0.763851509259883, 16.47609199329031, 24.457228, 23.405160692904108
NorESM1-M, 0.7846019375355467, 17.2901914818637, 27.755125, 23.458837248996158
HadGEM2-AO, 0.8794014721850667, 11.26377697520345, 22.1786, 23.426167590731605
GFDL-CM3, 0.8498569410511759, 13.416050641900053, 25.201124, 23.313833611913733
GFDL-ESM2M, 0.8301373381572006, 13.518336217741302, 22.928034, 23.429055772362396
CESM1-CAM5, 0.8032539328358214, 16.063109651846705, 26.779808, 23.405160668500685
Linear_LS, 0.7225632775376796, 19.34761986827139, 27.579597, 23.217617526648745
Linear_FD, 0.7061843357706579, 19.976947812483857, 27.746988, 23.217617526648745
Linear_ALL, 0.7541461371843228, 18.210687010747566, 27.467043, 23.217617526648745
Sundqvist_LS, 0.7237011561650066, 18.783051189719817, 26.60431, 23.217617526648745
Sundqvist_FD, 0.7077240389599341, 19.328222484135523, 26.65527, 23.217617526648745
Sundqvist_ALL, 0.755008430459951, 17.725255279869113, 26.607502, 23.217617526648745
